Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-07-29,10:42:00,"""CNR7337069""",Cancelled by Customer,"""CID5048760""",eBike,Dilshad Garden,Shahdara,10.9,,1.0,Wrong Address,,,,,,,,,
2024-07-16,21:34:31,"""CNR4539154""",Completed,"""CID5553242""",eBike,Azadpur,Panchsheel Park,2.5,21.3,,,,,,,398.0,9.73,3.9,4.4,UPI
2024-02-01,15:04:15,"""CNR3068031""",Cancelled by Customer,"""CID4583773""",Premier Sedan,Nehru Place,Central Secretariat,5.2,,1.0,AC is not working,,,,,,,,,
2024-08-23,10:32:22,"""CNR1612211""",Completed,"""CID9378909""",Premier Sedan,Green Park,Tagore Garden,12.4,35.3,,,,,,,155.0,29.6,4.2,4.4,Credit Card
2024-11-07,07:36:15,"""CNR9980384""",Incomplete,"""CID6219905""",Go Sedan,Tagore Garden,Greater Noida,4.2,16.1,,,,,1.0,Other Issue,263.0,9.15,,,Cash
2024-12-06,14:59:10,"""CNR1671342""",Cancelled by Driver,"""CID2378224""",Uber XL,Civil Lines Gurgaon,Rohini West,7.0,,,,1.0,Personal & Car related issues,,,,,,,
2024-09-11,13:12:07,"""CNR2697526""",Cancelled by Driver,"""CID5329468""",Premier Sedan,Welcome,Civil Lines Gurgaon,3.5,,,,1.0,More than permitted people in there,,,,,,,
2024-10-21,10:53:46,"""CNR8668762""",No Driver Found,"""CID2080195""",Bike,Nawada,Mundka,,,,,,,,,,,,,
2024-08-01,19:51:56,"""CNR3472685""",Completed,"""CID4322861""",Auto,Sushant Lok,Ambience Mall,6.8,40.2,,,,,,,164.0,3.43,4.3,3.1,Cash
2024-01-28,07:23:54,"""CNR7134957""",Cancelled by Driver,"""CID2767780""",Auto,Gurgaon Sector 29,Basai Dhankot,9.4,,,,1.0,The customer was coughing/sick,,,,,,,
2024-10-18,17:00:05,"""CNR7024090""",Completed,"""CID6630084""",eBike,Raj Nagar Extension,Yamuna Bank,14.1,16.9,,,,,,,747.0,42.65,3.1,4.9,Uber Wallet
2024-12-01,17:16:21,"""CNR5121421""",Completed,"""CID7319243""",Auto,Kadarpur,New Delhi Railway Station,7.7,17.8,,,,,,,2188.0,7.24,4.1,5.0,UPI
2024-06-30,15:52:32,"""CNR1104419""",No Driver Found,"""CID4463973""",eBike,Greater Kailash,Moti Nagar,,,,,,,,,,,,,
2024-05-18,12:45:03,"""CNR9423741""",No Driver Found,"""CID3645100""",Bike,Ghitorni Village,GTB Nagar,,,,,,,,,,,,,
2024-12-20,18:24:34,"""CNR6817788""",Cancelled by Driver,"""CID1058589""",Go Mini,Ghaziabad,Udyog Vihar Phase 4,11.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-04-08,04:29:47,"""CNR2011713""",Cancelled by Customer,"""CID2320681""",Go Sedan,Noida Sector 18,Kashmere Gate ISBT,10.6,,1.0,Wrong Address,,,,,,,,,
2024-12-05,15:32:19,"""CNR5561705""",Completed,"""CID5972255""",Auto,Vaishali,Rajouri Garden,11.4,32.8,,,,,,,677.0,24.55,4.3,4.4,Debit Card
2024-08-13,21:15:45,"""CNR7798524""",Completed,"""CID6759299""",Go Sedan,Rajiv Chowk,Huda City Centre,6.4,28.0,,,,,,,91.0,49.68,4.2,5.0,UPI
2024-06-24,16:59:55,"""CNR7287839""",Completed,"""CID2015234""",Auto,Mandi House,Greater Kailash,2.4,40.4,,,,,,,425.0,40.24,4.2,4.1,Cash
2024-08-18,19:42:57,"""CNR6185516""",Cancelled by Customer,"""CID7832223""",Premier Sedan,Ghitorni,Civil Lines Gurgaon,9.3,,1.0,Wrong Address,,,,,,,,,
2024-06-05,12:55:25,"""CNR9204349""",Completed,"""CID9921457""",Auto,Noida Sector 62,Tughlakabad,7.7,37.7,,,,,,,381.0,40.55,4.7,4.4,Credit Card
2024-09-22,12:52:29,"""CNR3470754""",Cancelled by Driver,"""CID4298213""",Auto,Model Town,Hero Honda Chowk,6.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-11-02,09:47:25,"""CNR6715076""",Completed,"""CID7553763""",Premier Sedan,Sadar Bazar Gurgaon,Uttam Nagar,7.4,40.2,,,,,,,330.0,46.68,3.7,4.3,UPI
2024-01-21,15:04:47,"""CNR6841802""",Completed,"""CID1125833""",Go Mini,Shivaji Park,Subhash Chowk,11.1,31.4,,,,,,,410.0,29.09,4.6,3.1,Cash
2024-06-01,17:28:04,"""CNR7772934""",Completed,"""CID3521562""",Premier Sedan,Old Gurgaon,Jahangirpuri,5.4,25.9,,,,,,,956.0,30.8,4.3,4.6,Uber Wallet
2024-10-11,12:24:37,"""CNR2419972""",Completed,"""CID7071547""",Go Sedan,Malviya Nagar,Rajiv Chowk,12.3,31.6,,,,,,,495.0,18.54,4.9,4.8,UPI
2024-01-20,22:55:41,"""CNR1549457""",Completed,"""CID4441422""",Auto,Kanhaiya Nagar,Kashmere Gate ISBT,6.7,17.8,,,,,,,220.0,33.43,4.6,4.4,Cash
2024-05-05,12:07:27,"""CNR9802542""",Completed,"""CID3344988""",Bike,Qutub Minar,Tilak Nagar,9.0,39.8,,,,,,,801.0,20.52,4.6,4.9,UPI
2024-12-19,20:33:22,"""CNR5659179""",Incomplete,"""CID1056002""",Go Mini,Peeragarhi,Sultanpur,3.2,15.9,,,,,1.0,Vehicle Breakdown,255.0,16.22,,,Credit Card
2024-02-01,20:39:52,"""CNR5887980""",Completed,"""CID7340321""",eBike,Inderlok,Sonipat,11.4,21.7,,,,,,,99.0,27.65,4.5,3.9,Cash
2024-02-16,12:23:44,"""CNR5078639""",Cancelled by Driver,"""CID5480864""",Premier Sedan,Subhash Nagar,Govindpuri,3.1,,,,1.0,Personal & Car related issues,,,,,,,
2024-10-08,17:44:05,"""CNR7224311""",Completed,"""CID8504320""",Auto,Janakpuri,Chirag Delhi,14.1,39.1,,,,,,,300.0,15.57,4.2,4.3,UPI
2024-01-26,20:10:05,"""CNR3017433""",Cancelled by Driver,"""CID8486417""",Go Sedan,Vatika Chowk,Karol Bagh,9.6,,,,1.0,Personal & Car related issues,,,,,,,
2024-09-07,19:57:16,"""CNR2394133""",Cancelled by Driver,"""CID7180595""",Auto,Lal Quila,Badshahpur,6.3,,,,1.0,Customer related issue,,,,,,,
2024-12-16,22:48:18,"""CNR9203735""",No Driver Found,"""CID6020034""",Premier Sedan,Pitampura,Sultanpur,,,,,,,,,,,,,
2024-04-30,22:25:49,"""CNR7322026""",Cancelled by Driver,"""CID2880003""",Go Sedan,Kalkaji,Adarsh Nagar,4.5,,,,1.0,The customer was coughing/sick,,,,,,,
2024-12-22,10:20:09,"""CNR8761297""",Completed,"""CID9663913""",Auto,Lok Kalyan Marg,Hauz Khas,5.1,34.3,,,,,,,371.0,12.89,4.6,4.3,UPI
2024-06-02,05:40:30,"""CNR5039832""",Cancelled by Driver,"""CID9936970""",Go Mini,Chandni Chowk,Madipur,8.3,,,,1.0,Personal & Car related issues,,,,,,,
2024-01-01,11:29:53,"""CNR2357688""",Cancelled by Driver,"""CID2662964""",Auto,Dwarka Mor,Hauz Khas,3.4,,,,1.0,The customer was coughing/sick,,,,,,,
2024-09-27,17:39:57,"""CNR1595359""",Completed,"""CID7786020""",Go Mini,Gwal Pahari,Karkarduma,13.7,42.9,,,,,,,368.0,28.03,4.3,4.2,UPI
2024-10-31,15:53:56,"""CNR2527814""",Cancelled by Driver,"""CID9390199""",Premier Sedan,Nehru Place,AIIMS,8.7,,,,1.0,Customer related issue,,,,,,,
2024-04-22,17:37:14,"""CNR1323718""",Completed,"""CID8547728""",Auto,Jasola,Pulbangash,12.8,41.6,,,,,,,562.0,28.65,4.3,3.4,UPI
2024-06-22,21:27:32,"""CNR3805376""",Incomplete,"""CID9117781""",Bike,South Extension,Kashmere Gate,3.0,12.3,,,,,1.0,Customer Demand,1331.0,4.95,,,UPI
2024-03-30,19:20:29,"""CNR3301826""",Completed,"""CID2654079""",Go Mini,Vaishali,Basai Dhankot,13.3,30.4,,,,,,,930.0,36.19,3.8,4.3,UPI
2024-02-12,19:39:46,"""CNR6018214""",Completed,"""CID2176498""",Go Sedan,Maidan Garhi,Shastri Park,14.2,28.1,,,,,,,934.0,46.42,3.1,3.3,Cash
2024-11-06,09:40:10,"""CNR5882885""",Completed,"""CID5767687""",Auto,Sarojini Nagar,RK Puram,11.5,37.3,,,,,,,493.0,8.24,3.1,4.1,UPI
2024-10-13,16:15:36,"""CNR6266109""",Incomplete,"""CID8169159""",Go Sedan,Chirag Delhi,Seelampur,6.4,20.0,,,,,1.0,Customer Demand,573.0,8.77,,,UPI
2024-11-19,21:15:42,"""CNR6590623""",Completed,"""CID9615277""",Go Mini,Gurgaon Sector 29,Aya Nagar,11.7,16.5,,,,,,,798.0,17.43,3.9,4.6,UPI
2024-05-11,11:51:07,"""CNR3479514""",Cancelled by Driver,"""CID4579736""",Premier Sedan,Noida Extension,South Extension,3.7,,,,1.0,The customer was coughing/sick,,,,,,,
2024-03-21,10:18:07,"""CNR6716718""",Completed,"""CID5301825""",Auto,Chirag Delhi,Badarpur,9.7,41.5,,,,,,,92.0,39.33,4.3,5.0,UPI
2024-03-11,16:46:23,"""CNR7945856""",Completed,"""CID6715450""",Go Sedan,ITO,Ghitorni,14.1,19.7,,,,,,,294.0,5.78,4.6,4.8,Credit Card
2024-05-26,21:38:05,"""CNR1841574""",No Driver Found,"""CID7569931""",Premier Sedan,Lal Quila,Bahadurgarh,,,,,,,,,,,,,
2024-01-19,11:05:46,"""CNR3631266""",Cancelled by Driver,"""CID3623388""",Go Sedan,Chandni Chowk,Arjangarh,8.8,,,,1.0,More than permitted people in there,,,,,,,
2024-05-29,04:07:59,"""CNR3396420""",Cancelled by Driver,"""CID2366061""",Go Sedan,Sohna Road,Shastri Nagar,7.8,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-08,12:42:37,"""CNR9064147""",Completed,"""CID9460708""",Go Sedan,Madipur,Pulbangash,14.5,16.5,,,,,,,547.0,9.98,4.2,3.2,Cash
2024-09-07,19:47:47,"""CNR6051670""",Cancelled by Driver,"""CID3421996""",Go Sedan,Mayur Vihar,Dilshad Garden,4.2,,,,1.0,The customer was coughing/sick,,,,,,,
2024-10-15,17:48:17,"""CNR3447527""",Cancelled by Driver,"""CID6250545""",Auto,Maidan Garhi,Nehru Place,6.2,,,,1.0,More than permitted people in there,,,,,,,
2024-06-30,09:23:42,"""CNR7919494""",No Driver Found,"""CID1775212""",Go Sedan,Shivaji Park,Paharganj,,,,,,,,,,,,,
2024-07-06,15:53:15,"""CNR1535099""",Completed,"""CID6506220""",Auto,Meerut,Samaypur Badli,13.1,44.7,,,,,,,183.0,45.33,4.9,4.7,Cash
2024-10-22,07:12:28,"""CNR1841188""",Cancelled by Driver,"""CID4413072""",Go Mini,Pitampura,Barakhamba Road,6.2,,,,1.0,The customer was coughing/sick,,,,,,,
2024-09-09,19:05:06,"""CNR7334226""",Incomplete,"""CID1619477""",Auto,Shahdara,Old Gurgaon,9.2,16.0,,,,,1.0,Other Issue,144.0,17.6,,,UPI
2024-04-23,17:47:01,"""CNR1934862""",Completed,"""CID6658402""",Go Mini,Basai Dhankot,Ghaziabad,6.5,43.7,,,,,,,751.0,13.73,4.6,3.9,Uber Wallet
2024-04-17,17:24:58,"""CNR2379000""",Completed,"""CID4696227""",Premier Sedan,Azadpur,Jor Bagh,6.4,16.3,,,,,,,329.0,8.95,4.2,4.3,UPI
2024-04-09,01:57:41,"""CNR6121966""",Cancelled by Driver,"""CID5010627""",Go Sedan,Shahdara,Rithala,3.5,,,,1.0,Personal & Car related issues,,,,,,,
2024-07-21,19:09:27,"""CNR9048855""",Cancelled by Driver,"""CID4189829""",Premier Sedan,Akshardham,Rithala,7.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-03-23,20:03:09,"""CNR7107441""",Cancelled by Driver,"""CID2009661""",eBike,Munirka,Barakhamba Road,4.9,,,,1.0,Personal & Car related issues,,,,,,,
2024-09-19,19:01:09,"""CNR5939554""",Incomplete,"""CID7589158""",Go Mini,Anand Vihar ISBT,Pulbangash,4.7,10.1,,,,,1.0,Customer Demand,807.0,10.23,,,Credit Card
2024-01-18,01:53:25,"""CNR3374540""",Completed,"""CID4186934""",Bike,Ramesh Nagar,Panipat,6.8,43.5,,,,,,,393.0,20.43,4.2,4.2,UPI
2024-04-03,18:45:09,"""CNR5310537""",Cancelled by Driver,"""CID3269490""",Go Sedan,Golf Course Road,DLF Phase 3,5.5,,,,1.0,Personal & Car related issues,,,,,,,
2024-04-19,18:52:40,"""CNR9034681""",No Driver Found,"""CID5248196""",eBike,Tis Hazari,Rohini East,,,,,,,,,,,,,
2024-10-21,15:03:23,"""CNR3272826""",Cancelled by Driver,"""CID8775957""",Auto,Delhi Gate,Kashmere Gate,3.2,,,,1.0,Customer related issue,,,,,,,
2024-10-18,22:33:22,"""CNR9669802""",Completed,"""CID5859166""",Auto,Yamuna Bank,Rajiv Chowk,9.1,31.8,,,,,,,323.0,21.43,4.3,4.3,Debit Card
2024-01-06,13:41:19,"""CNR8863325""",Completed,"""CID1584485""",Go Mini,Dwarka Mor,Patel Chowk,2.0,18.0,,,,,,,614.0,16.63,4.7,4.9,UPI
2024-05-21,09:13:43,"""CNR7271050""",Completed,"""CID3043858""",Go Sedan,Moti Nagar,Chanakyapuri,3.9,25.9,,,,,,,197.0,7.51,4.3,4.2,Credit Card
2024-08-09,22:58:12,"""CNR5613550""",Incomplete,"""CID2371327""",Bike,Green Park,Saket,4.9,11.5,,,,,1.0,Other Issue,472.0,8.69,,,UPI
2024-06-08,14:31:08,"""CNR5376890""",Cancelled by Driver,"""CID8137993""",Auto,Old Gurgaon,Saket A Block,11.9,,,,1.0,Customer related issue,,,,,,,
2024-10-04,07:18:14,"""CNR4376755""",No Driver Found,"""CID3805573""",Auto,Lok Kalyan Marg,Vasant Kunj,,,,,,,,,,,,,
2024-06-04,12:18:00,"""CNR4819171""",Incomplete,"""CID2863178""",Go Sedan,Green Park,IMT Manesar,2.4,17.0,,,,,1.0,Vehicle Breakdown,137.0,12.05,,,UPI
2024-08-27,09:16:38,"""CNR4678076""",Completed,"""CID5152283""",Premier Sedan,GTB Nagar,Central Secretariat,6.4,32.8,,,,,,,440.0,20.43,3.6,4.9,UPI
2024-03-01,15:05:19,"""CNR3235921""",No Driver Found,"""CID1368932""",Bike,Nirman Vihar,RK Puram,,,,,,,,,,,,,
2024-05-23,22:28:04,"""CNR8495870""",Completed,"""CID8664616""",Go Sedan,Huda City Centre,Dwarka Mor,8.2,36.8,,,,,,,377.0,39.04,3.9,4.9,UPI
2024-03-31,18:57:31,"""CNR7355505""",Completed,"""CID7735547""",Go Sedan,Ambience Mall,Ghaziabad,8.9,19.1,,,,,,,1163.0,44.14,4.2,3.3,Credit Card
2024-10-17,14:50:45,"""CNR8041732""",Completed,"""CID2517424""",Auto,Huda City Centre,IMT Manesar,4.2,22.4,,,,,,,681.0,45.93,3.4,3.9,Cash
2024-03-23,20:53:37,"""CNR7000447""",Cancelled by Driver,"""CID9112287""",Go Sedan,Indirapuram,IFFCO Chowk,8.3,,,,1.0,Personal & Car related issues,,,,,,,
2024-09-04,11:20:04,"""CNR8746222""",Cancelled by Driver,"""CID5247144""",Auto,Inderlok,Huda City Centre,6.1,,,,1.0,The customer was coughing/sick,,,,,,,
2024-09-01,21:44:37,"""CNR3631162""",Completed,"""CID8228377""",Go Sedan,Hero Honda Chowk,Sadar Bazar Gurgaon,7.6,34.6,,,,,,,212.0,8.42,4.3,4.4,Credit Card
2024-04-22,20:25:33,"""CNR2241327""",Completed,"""CID6724136""",Auto,Faridabad Sector 15,Punjabi Bagh,5.5,38.7,,,,,,,928.0,30.09,4.1,4.8,Debit Card
2024-06-26,22:16:32,"""CNR8120915""",Cancelled by Driver,"""CID4318341""",Go Mini,Welcome,Vishwavidyalaya,6.2,,,,1.0,Personal & Car related issues,,,,,,,
2024-04-06,19:12:44,"""CNR9789707""",Completed,"""CID1636552""",eBike,Indraprastha,Noida Sector 18,4.9,37.5,,,,,,,249.0,32.02,4.2,4.2,Credit Card
2024-08-13,08:48:47,"""CNR4694405""",Cancelled by Driver,"""CID4004791""",eBike,Lal Quila,Noida Sector 62,6.6,,,,1.0,Customer related issue,,,,,,,
2024-10-23,13:26:43,"""CNR8748726""",Cancelled by Driver,"""CID4655816""",Go Mini,Ramesh Nagar,New Colony,8.5,,,,1.0,Customer related issue,,,,,,,
2024-08-20,14:44:09,"""CNR9588550""",Cancelled by Customer,"""CID3712917""",Go Mini,Bhiwadi,Vishwavidyalaya,17.6,,1.0,Wrong Address,,,,,,,,,
2024-12-28,20:42:11,"""CNR3955640""",Cancelled by Driver,"""CID8065966""",Premier Sedan,DLF Phase 3,Indraprastha,10.4,,,,1.0,Customer related issue,,,,,,,
2024-08-29,20:29:55,"""CNR3320406""",Cancelled by Driver,"""CID4752042""",Bike,Indirapuram,Saidulajab,6.8,,,,1.0,Personal & Car related issues,,,,,,,
2024-04-03,10:17:36,"""CNR7133681""",Completed,"""CID9085767""",Go Mini,Chandni Chowk,Lal Quila,10.4,16.7,,,,,,,524.0,33.12,4.6,4.0,UPI
2024-05-16,06:47:51,"""CNR5043375""",No Driver Found,"""CID3622667""",Go Mini,Keshav Puram,Gwal Pahari,,,,,,,,,,,,,
2024-01-04,13:48:31,"""CNR9198438""",Completed,"""CID5257058""",Uber XL,Dwarka Sector 21,Gwal Pahari,13.6,24.8,,,,,,,361.0,25.56,4.1,4.9,Cash
2024-10-19,18:43:31,"""CNR8585435""",Completed,"""CID3776655""",Go Mini,Nawada,Chanakyapuri,12.7,22.6,,,,,,,105.0,6.35,4.3,4.4,Uber Wallet
2024-12-08,21:55:35,"""CNR7746215""",Completed,"""CID4136725""",Bike,DLF Phase 3,Tagore Garden,13.4,43.4,,,,,,,838.0,10.0,3.3,4.2,UPI
2024-03-13,20:15:00,"""CNR1172056""",Cancelled by Driver,"""CID2727525""",Bike,IMT Manesar,Karkarduma,10.9,,,,1.0,More than permitted people in there,,,,,,,
2024-02-10,15:18:14,"""CNR8783887""",No Driver Found,"""CID7677830""",Bike,Gurgaon Railway Station,Janakpuri,,,,,,,,,,,,,
2024-03-23,10:00:37,"""CNR6606074""",Cancelled by Customer,"""CID2175260""",Go Mini,Preet Vihar,AIIMS,13.0,,1.0,AC is not working,,,,,,,,,
2024-08-09,22:25:12,"""CNR5150248""",Completed,"""CID3542749""",Premier Sedan,Greater Noida,Nawada,14.9,30.8,,,,,,,246.0,6.51,3.8,4.8,UPI
2024-10-31,10:34:38,"""CNR9376524""",Completed,"""CID8075274""",Auto,Rajiv Chowk,Sultanpur,4.1,31.7,,,,,,,668.0,23.9,4.1,4.7,Cash
